exoplanetLabel,image,constellationLabel
Upsilon Andromedae e,http://commons.wikimedia.org/wiki/Special:FilePath/Jkv.UpsAnd.e.png,Andromède
Upsilon Andromedae e,http://commons.wikimedia.org/wiki/Special:FilePath/Upsilon%20Andromedae.png,Andromède
Mu Arae b,http://commons.wikimedia.org/wiki/Special:FilePath/Mu%20Arae%20b%2C%20Celestia.jpg,Autel
16 Cygni Bb,http://commons.wikimedia.org/wiki/Special:FilePath/16%20Cygni%20B%20b.png,Cygne
16 Cygni Bb,http://commons.wikimedia.org/wiki/Special:FilePath/16%20Cygni%20sunset.jpg,Cygne
Gliese 3021 b,http://commons.wikimedia.org/wiki/Special:FilePath/GJ%203021%20b%20%28Exoplanete%29.jpg,Hydre mâle
HD 11977 b,http://commons.wikimedia.org/wiki/Special:FilePath/Eta2Hyib.jpg,Hydre mâle
HD 147513 b,http://commons.wikimedia.org/wiki/Special:FilePath/Planet%20HD%20147513%20b.png,Scorpion
OGLE2-TR-L9b,http://commons.wikimedia.org/wiki/Special:FilePath/OGLE2-TR-L9b.jpg,Carène
Pollux b,http://commons.wikimedia.org/wiki/Special:FilePath/P%C3%B3lux%20B.jpg,Gémeaux
HD 17156 b,http://commons.wikimedia.org/wiki/Special:FilePath/Planet%20HD%2017156%20b.png,Cassiopée
OGLE-2006-BLG-109Lc,http://commons.wikimedia.org/wiki/Special:FilePath/PlanetQuest-OGLE109c.png,Scorpion
Gliese 777 Ac,http://commons.wikimedia.org/wiki/Special:FilePath/Gliese%20777%20Ac%20%28Exoplanete%29.jpg,Cygne
WASP-11b-HAT-P-10b,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%20impression%20Extrasolar%20planet%20WASP-11b%20HAT-P-10b.jpg,Bélier
HD 4308 b,http://commons.wikimedia.org/wiki/Special:FilePath/HD%204308%20b%20Hot%20SuperEarth.png,Toucan
CoRoT-7c,http://commons.wikimedia.org/wiki/Special:FilePath/CoRoT-7c.jpg,Licorne
61 Virginis c,http://commons.wikimedia.org/wiki/Special:FilePath/ConceptJKV-61Vir-c.png,Vierge
Gliese 674 b,http://commons.wikimedia.org/wiki/Special:FilePath/Gliese%20674%20b%20%28Exoplanete%29.jpg,Autel
83 Leonis Bb,http://commons.wikimedia.org/wiki/Special:FilePath/83%20Leonis%20Bb.jpg,Lion
HD 69830 c,http://commons.wikimedia.org/wiki/Special:FilePath/Artwork%20showing%20a%20blurred%20globe%20and%20other%20celestial%20bodies%2C%20inspired%20by%20the%20asteroid%20belt%20of%20HD%2069830.jpg,Poupe
Upsilon Andromedae c,http://commons.wikimedia.org/wiki/Special:FilePath/Upsilon%20Andromedae%20c.png,Andromède
OGLE-2006-BLG-109Lb,http://commons.wikimedia.org/wiki/Special:FilePath/OGLE-2006-BLG-109%20scheme2.png,Scorpion
XO-1b,http://commons.wikimedia.org/wiki/Special:FilePath/XO-1b.jpg,Couronne boréale
Tau Ceti e,http://commons.wikimedia.org/wiki/Special:FilePath/Termoplaneta.jpg,Baleine
Riosar,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%27s%20impression%20of%20view%20of%20the%20planet%20Riosar%20in%20the%20Rosal%C3%ADadecastro%20system.jpg,Ophiuchus
HD 170469 b,http://commons.wikimedia.org/wiki/Special:FilePath/PlanetQuest-HD170469b.png,Ophiuchus
Kepler-20f,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-20f%20Planet.jpg,Lyre
XO-2b,http://commons.wikimedia.org/wiki/Special:FilePath/XO-2b.jpg,Lynx
Kepler-20e,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-20e%20Planet.jpg,Lyre
OGLE-2007-BLG-368L b,http://commons.wikimedia.org/wiki/Special:FilePath/Neptune-kin%20OGLE-2007-BLG-368Lb.png,Scorpion
HR 8799 e,http://commons.wikimedia.org/wiki/Special:FilePath/GRAVITY%20instrument%20breaks%20new%20ground%20in%20exoplanet%20imaging%20HR%208799e.jpg,Pégase
HD 10180 c,http://commons.wikimedia.org/wiki/Special:FilePath/HD10180InnerOrbits.svg,Hydre mâle
24 Sextantis b,http://commons.wikimedia.org/wiki/Special:FilePath/24%20Sextantis%20and%2024%20Sextantis%20b%20in%20Celestia.jpg,Sextant
